time,gl
2026-01-01T16:35,69.0
2026-01-01T16:40,69.4
2026-01-01T16:45,68.9
2026-01-01T16:50,68.4
2026-01-01T16:55,67.1
2026-01-01T17:00,67.7
2026-01-01T17:05,68.4
2026-01-01T17:10,68.0
2026-01-01T17:15,68.1
2026-01-01T17:20,67.1
2026-01-01T17:25,66.7
2026-01-01T17:30,67.8
2026-01-01T17:35,67.9
2026-01-01T17:40,69.8
2026-01-01T17:45,69.1
2026-01-01T17:50,69.6
2026-01-01T17:55,69.4
2026-01-01T18:00,69.9
2026-01-01T18:05,69.9
2026-01-01T18:10,69.4
2026-01-01T18:15,68.7
2026-01-01T18:20,71.2
2026-01-01T18:25,71.1
2026-01-01T18:30,69.5
2026-01-01T18:35,69.0
2026-01-01T18:40,69.5
2026-01-01T18:45,69.1
2026-01-01T18:50,70.2
2026-01-01T18:55,71.0
2026-01-01T19:00,70.9
2026-01-01T19:05,70.5
2026-01-01T19:10,69.7
2026-01-01T19:15,69.2
2026-01-01T19:20,68.0
2026-01-01T19:25,69.0
2026-01-01T19:30,70.2
2026-01-01T19:35,69.2
2026-01-01T19:40,68.3
2026-01-01T19:45,66.9
2026-01-01T19:50,66.1
2026-01-01T19:55,63.6
2026-01-01T20:00,62.7
2026-01-01T20:05,63.7
2026-01-01T20:10,63.5
2026-01-01T20:15,64.1
2026-01-01T20:20,63.7
2026-01-01T20:25,65.2
2026-01-01T20:30,65.3
2026-01-01T20:35,65.0
2026-01-01T20:40,67.1
2026-01-01T20:45,66.8
2026-01-01T20:50,65.8
2026-01-01T20:55,66.0
2026-01-01T21:00,65.9
2026-01-01T21:05,66.8
2026-01-01T21:10,66.1
2026-01-01T21:15,66.7
2026-01-01T21:20,67.4
2026-01-01T21:25,66.9
2026-01-01T21:30,67.0
2026-01-01T21:35,66.3
2026-01-01T21:40,68.2
2026-01-01T21:45,67.6
2026-01-01T21:50,67.3
2026-01-01T21:55,66.4
2026-01-01T22:00,66.1
2026-01-01T22:05,66.1
2026-01-01T22:10,66.8
2026-01-01T22:15,66.3
2026-01-01T22:20,66.1
2026-01-01T22:25,65.0
2026-01-01T22:30,64.3
2026-01-01T22:35,66.5
2026-01-01T22:40,67.4
2026-01-01T22:45,66.7
2026-01-01T22:50,65.7
2026-01-01T22:55,64.9
2026-01-01T23:00,64.9
2026-01-01T23:05,64.9
2026-01-01T23:10,64.3
2026-01-01T23:15,63.3
2026-01-01T23:20,64.4
2026-01-01T23:25,64.8
2026-01-01T23:30,64.5
2026-01-01T23:35,64.3
2026-01-01T23:40,63.9
2026-01-01T23:45,61.5
2026-01-01T23:50,61.6
2026-01-01T23:55,60.8
